desc,locid,tillageSelection,coverCrop
mppf.sp.a_andersons.u20240313131649371_CsGUSNZKsDcz70,50af8f5f-2e0c-3d3d-a886-d4590c14c0d4,Conservation,False
mppf.sp.a_andersons.u20240313131649371_CsGUSNZKsDcz81,f5a074f1-a980-39d1-a34a-6eb533dcfe75,Conservation,False
mppf.sp.a_andersons.u20240313131649371_CsGUSNZKsDcz26,8e649e1a-2a84-3f57-93c5-8e3aaa561b4c,Conservation,False
mppf.sp.a_andersons.u20240313131649371_CsGUSNZKsDcz27,3a56877e-8cd2-3f08-8e80-733073071e4d,Conservation,False
mppf.sp.a_andersons.u20240313131649371_CsGUSNZKsDcz82,069b5075-4ee8-31cd-a184-0dfb97b3b123,Conservation,False
mppf.sp.a_andersons.20240314230459084_sGI-XSKutvgz,f0e2e306-1312-32e5-b3a0-4f0108c696ea,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240313131649371_CsGUSNZKsDcz44,d47526f5-2104-394d-b23d-5ee169667222,Conservation,False
mppf.sp.a_andersons.u20240313131649371_CsGUSNZKsDcz31,3f1a3315-4e94-30ca-b32c-22b4ebd3a384,Conservation,False
mppf.sp.a_andersons.20240314231446836_gA5SJehk6QYz,0af5ef02-2ad5-3a1c-9a3f-a74946e40050,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240313131649371_CsGUSNZKsDcz67,0fa1985c-9aaf-3894-a82b-a71156b4da2d,Conservation,False
mppf.sp.a_andersons.u20240313131649371_CsGUSNZKsDcz42,39e243e7-295e-3183-9179-c07a11e1b5e5,Conservation,False
mppf.sp.a_andersons.u20240313131649371_CsGUSNZKsDcz29,439c0a84-456e-3bed-9198-6dd709fca2eb,Conservation,False
mppf.sp.a_andersons.u20240313131649371_CsGUSNZKsDcz24,634fff0b-ad60-3a6c-ac1b-888054e40722,Conservation,False
mppf.sp.a_andersons.u20240313131649371_CsGUSNZKsDcz41,3e211b6b-7f4e-35b5-a106-6b81d58b4aaf,Conservation,False
mppf.sp.a_andersons.u20240313131649371_CsGUSNZKsDcz54,e937f3b0-90bc-3907-8f6c-1ffbf0b267a8,Conservation,False
mppf.sp.a_andersons.u20240313131649371_CsGUSNZKsDcz34,b0da1414-2f47-33ef-8bc4-921cba28bfbe,Conservation,False
mppf.sp.a_andersons.u20240306131029734_BHVPdm0qFLUz4,7a4aa065-b4ca-3903-9740-158b37507d95,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240306131029734_BHVPdm0qFLUz11,cafc8140-201f-342a-bf77-1967eadaaf2c,Conservation,False
mppf.sp.a_andersons.u20240306131029734_BHVPdm0qFLUz5,2766d5b9-e6a9-3300-92da-bc7e17efebf2,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240306131029734_BHVPdm0qFLUz3,380cb456-e239-31f4-ab51-ba2da62a5442,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz113,43cad1e4-819e-380c-91c8-13a9f76101ed,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz112,57e3b3c0-ace0-38ce-a672-48b6c8be8250,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz106,ff2af1cb-5d86-3d56-bafa-6ceaccb9769f,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz178,12630739-f193-373e-b8d3-0a459d638515,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz123,a7e8a94b-3465-3914-8499-e2ffc627c442,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz20,983a2373-8851-3809-8506-04f30149c7f1,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz162,c63f7d43-d602-3ae6-9ff2-c7d369336d14,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz27,db4164ac-6b55-3a66-80d3-86ede9897461,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz196,8fb6c329-ac4e-31e7-98bf-c4b8f42c553e,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz117,1f1949bf-b784-3bd6-8caa-dc3203c9f1c8,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz222,5d589751-fae1-3cdb-a672-0cff412a310d,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz158,d4b49e1c-a1c9-3090-adb4-490b42997915,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz132,d97713b3-9b45-30c4-b0b9-5ffc3b3c0594,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz176,412addb7-77ee-31b5-9b15-9781d331ce4e,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz181,34cfd609-6d30-3b6e-988f-2f4c698c2a55,GrowerTillageImplemented,False
