Field ID,Acreage,State,County,2024 Winter Crop,2024 Cash Crop,2024 Tillage,2023 Winter Crop,2023 Cash Crop,2023 Tillage,2022 Winter Crop,2022 Cash Crop,2022 Tillage,2021 Winter Crop,2021 Cash Crop,2021 Tillage,2020 Winter Crop,2020 Cash Crop,2020 Tillage,2019 Winter Crop,2019 Cash Crop,2019 Tillage,2018 Winter Crop,2018 Cash Crop,2018 Tillage,2017 Winter Crop,2017 Cash Crop,2017 Tillage
mppf.sp.a_andersons.20241125152113641_JB3xQphPUk8z,53.2836903,IN,Pulaski,No,Soybeans,No Till,No,Corn,No Till,No,Soybeans,No Till,No,Corn,Conservation Tillage,No,Soybeans,Conventional Tillage,No,Corn,No Till,No,Corn,Conservation Tillage,No,Corn,Conventional Tillage
mppf.sp.a_andersons.20241125151605972_hmuWJT5zw2Yz,40.069997,IN,Pulaski,No,Corn,No Till,No,Corn,Conservation Tillage,No,Soybeans,No Till,No,Corn,Conservation Tillage,No,Soybeans,Conventional Tillage,No,Corn,,No,Corn,Conservation Tillage,No,Corn,Conventional Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz1,13.6770411,MI,Genesee,No,Soybeans,Conventional Tillage,No,Corn,Conservation Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,Yes,Soybeans,Conservation Tillage,No,Fallow,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz3,88.5750744,MI,Lapeer,No,Corn,Conservation Tillage,No,Corn,No Till,No,Corn,No Till,No,Corn,No Till,No,Corn,Conservation Tillage,No,Corn,Conservation Tillage,No,Corn,Conventional Tillage,No,Corn,Conventional Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz4,41.4824392,MI,Genesee,No,Winterwheat,Conservation Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Winterwheat,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conservation Tillage,No,Winterwheat,,No,Soybeans,Conventional Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz5,8.1862364,MI,Genesee,No,Soybeans,Conservation Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,Yes,Alfalfa,Conservation Tillage,No,Fallow,Conservation Tillage,No,Soybeans,Conventional Tillage,,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz6,18.157514,MI,Genesee,No,Winterwheat,Conservation Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Winterwheat,Conventional Tillage,No,Soybeans,Conservation Tillage,No,Corn,Conventional Tillage,Yes,Winterwheat,Conservation Tillage,,Soybeans,Conservation Tillage
mppf.sp.a_andersons.u20240306131029734_BHVPdm0qFLUz15,254.0707386,IN,Fulton,No,Soybeans,No Till,No,Corn,Conservation Tillage,No,Corn,Conservation Tillage,No,Corn,Conservation Tillage,No,Corn,Conservation Tillage,No,Soybeans,Conservation Tillage,No,Corn,Conservation Tillage,,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz7,15.6715721,MI,Genesee,No,Soybeans,Conservation Tillage,No,Corn,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,Yes,Soybeans,Conservation Tillage,Yes,Corn,Conservation Tillage,No,Pasture,Conventional Tillage,No,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz8,78.0427689,MI,Genesee,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conservation Tillage,Yes,Alfalfa,Conservation Tillage,Yes,Nomajority,Conservation Tillage,,Pasture,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz9,12.9810947,MI,Lapeer,No,Soybeans,Conventional Tillage,No,Corn,Conservation Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conservation Tillage,No,Corn,Conservation Tillage,No,Soybeans,Conventional Tillage,,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz10,109.0012143,MI,Genesee,No,Corn,Conventional Tillage,No,Winterwheat,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conservation Tillage,No,Winterwheat,Conservation Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz11,19.7383318,MI,Genesee,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conservation Tillage,No,Fallow,Conservation Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz12,23.8915267,MI,Genesee,No,Corn,Conventional Tillage,No,Winterwheat,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conservation Tillage,No,Winterwheat,Conservation Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz13,50.4548042,MI,Genesee,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Fallow,Conventional Tillage,No,Corn,Conservation Tillage,No,Soybeans,Conservation Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz14,22.4323048,MI,Genesee,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conservation Tillage,No,Fallow,Conservation Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz15,3.1523766,MI,Genesee,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Corn,Conventional Tillage,Yes,Soybeans,No Till,No,Fallow,Conservation Tillage,No,Soybeans,Conventional Tillage,,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz16,39.057589,MI,Genesee,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conservation Tillage,No,Fallow,Conservation Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz17,33.9063082,MI,Genesee,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conservation Tillage,No,Soybeans,Conservation Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz18,10.8473201,MI,Genesee,No,Soybeans,Conventional Tillage,No,Corn,Conservation Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conservation Tillage,No,Fallow,Conservation Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz19,26.1145978,MI,Genesee,No,Corn,Conventional Tillage,No,Winterwheat,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conservation Tillage,No,Winterwheat,Conservation Tillage,No,Soybeans,Conventional Tillage,Yes,Winterwheat,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz20,31.7436962,MI,Genesee,No,Corn,Conventional Tillage,No,Winterwheat,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conservation Tillage,Yes,Winterwheat,Conservation Tillage,No,Soybeans,Conventional Tillage,Yes,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz21,56.3603606,MI,Genesee,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Winterwheat,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conservation Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz22,36.9795802,MI,Genesee,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conservation Tillage,No,Soybeans,Conservation Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz23,45.8926063,MI,Genesee,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conservation Tillage,No,Soybeans,Conservation Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz24,16.6810445,MI,Lapeer,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conservation Tillage,No,Corn,Conservation Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz25,13.3065908,MI,Genesee,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conservation Tillage,No,Corn,Conservation Tillage,No,Soybeans,Conventional Tillage,,Corn,
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz27,16.4263222,MI,Genesee,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,Yes,Nomajority,No Till,Yes,Fallow,Conservation Tillage,Yes,Corn,Conservation Tillage,No,Nomajority,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz28,96.1572919,MI,Genesee,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,Yes,Soybeans,No Till,No,Fallow,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz29,67.8705949,MI,Lapeer,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Corn,Conventional Tillage,No,Corn,Conservation Tillage,No,Corn,Conservation Tillage,No,Soybeans,Conservation Tillage,Yes,Corn,Conservation Tillage
