Supply Shed,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER
SE Wisconsin,55,101,1581111,0500000US55101,55101,Racine,6,861398471,1190238442
SE Wisconsin,55,55,1581087,0500000US55055,55055,Jefferson,6,1441239975,68054125
SE Wisconsin,55,105,1581113,0500000US55105,55105,Rock,6,1859964571,20711099
SE Wisconsin,55,127,1581123,0500000US55127,55127,Walworth,6,1438568339,54798005
SE Wisconsin,55,131,1581125,0500000US55131,55131,Washington,6,1115362189,12999404
SE Wisconsin,55,27,1581073,0500000US55027,55027,Dodge,6,2268072980,81308121
SE Wisconsin,55,47,1581083,0500000US55047,55047,Green Lake,6,905314818,79202624
SE Wisconsin,55,59,1581089,0500000US55059,55059,Kenosha,6,704110693,1248806298
SE Wisconsin,55,39,1581079,0500000US55039,55039,Fond du Lac,6,1863666382,119854626
SE Wisconsin,55,79,1581100,0500000US55079,55079,Milwaukee,6,625440563,2455383635
SE Wisconsin,55,21,1581070,0500000US55021,55021,Columbia,6,1982753988,78837244
SE Wisconsin,55,89,1581105,0500000US55089,55089,Ozaukee,6,603510821,2287418991
SE Wisconsin,55,25,1581072,0500000US55025,55025,Dane,6,3098910897,106205317
SE Wisconsin,55,133,1581126,0500000US55133,55133,Waukesha,,,
SW Wisconsin,55,49,1581084,0500000US55049,55049,Iowa,6,1975379906,13870324
SW Wisconsin,55,45,1581082,0500000US55045,55045,Green,6,1512664663,1315749
SW Wisconsin,55,65,1581092,0500000US55065,55065,Lafayette,6,1640985346,2539100
SW Wisconsin,55,43,1581081,0500000US55043,55043,Grant,6,2970403781,94520011
NW Wisconsin,55,107,1581114,0500000US55107,55107,Rusk,6,2366092053,44813690
NW Wisconsin,55,113,1581116,0500000US55113,55113,Sawyer,6,3257216619,239883874
NW Wisconsin,55,7,1581063,0500000US55007,55007,Bayfield,6,3827694061,1460287292
NW Wisconsin,55,129,1581124,0500000US55129,55129,Washburn,6,2064513839,145565940
NW Wisconsin,55,13,1581066,0500000US55013,55013,Burnett,6,2127826487,151944426
NW Wisconsin,55,31,1581075,0500000US55031,55031,Douglas,6,3378102266,454243357
NW Wisconsin,55,5,1581062,0500000US55005,55005,Barron,6,2235229317,69246614
NW Illinois,17,103,424253,0500000US17103,17103,Lee,6,1877336056,10634483
NW Illinois,17,11,424207,0500000US17011,17011,Bureau,6,2250916543,11606402
